,centroid-0,centroid-1,area
0,3.0294117647058822,285.7279411764706,136
1,56.5,385.5,60
2,56.77272727272727,1103.7727272727273,66
3,67.38356164383562,872.7625570776256,219
4,63.77272727272727,674.2272727272727,66
5,77.93939393939394,807.020202020202,99
6,94.16666666666667,976.75,84
7,101.47826086956522,1487.904347826087,115
8,110.84745762711864,2584.0,59
9,116.48484848484848,1912.0,66
10,141.03571428571428,2124.839285714286,112
11,140.5,305.5,68
12,143.04419889502762,1592.2375690607735,181
13,141.22727272727272,1828.2272727272727,66
14,150.2826086956522,2224.521739130435,138
15,157.52095808383234,2175.87125748503,334
16,151.0,2270.5,60
17,151.0,2202.0,41
18,151.0,2347.0,41
19,158.87962962962962,1910.3148148148148,108
20,168.0,2582.0,59
21,170.72727272727272,2157.7272727272725,77
22,175.5,1326.0,50
23,182.23076923076923,2408.769230769231,65
24,183.0,2158.0,41
25,183.5,2865.6666666666665,30
26,190.0,1985.0,95
27,190.5,2328.0,50
28,193.0,2555.5,60
29,194.72727272727272,2702.7272727272725,99
30,194.75280898876406,2191.1685393258426,89
31,198.328125,1590.9140625,128
32,195.76470588235293,2216.5,68
33,209.72277227722773,2549.19801980198,101
34,210.83333333333334,2843.464912280702,114
35,217.34782608695653,810.2608695652174,115
36,216.5,2237.0,50
37,224.0,2277.0,59
38,232.0,1649.0,41
39,246.66521739130434,2864.1434782608694,230
40,240.944,1290.496,125
41,243.61904761904762,2417.0857142857144,105
42,251.0,2309.0,41
43,265.5,186.04918032786884,122
44,269.0,2129.0,41
45,284.04185022026434,32.19603524229075,908
46,298.04545454545456,656.0,110
47,301.57964601769913,690.712389380531,226
48,301.169696969697,1097.7757575757576,165
49,308.0833333333333,421.85185185185185,216
50,307.037037037037,271.1759259259259,108
51,313.14522821576764,1802.8215767634854,241
52,319.9375,103.94618055555556,576
53,324.2270341207349,241.09186351706037,762
54,339.33410404624277,361.3023121387283,1730
55,331.9747064137308,727.186088527552,1107
56,311.4237288135593,373.0,59
57,319.8791208791209,862.6153846153846,273
58,332.1583850931677,1174.4782608695652,322
59,353.9761904761905,155.081569664903,2268
60,350.6774628879892,8.329284750337383,741
61,335.5962962962963,307.9555555555556,270
62,330.8024691358025,2641.2716049382716,81
63,331.68148148148146,772.4814814814815,135
64,332.75,1241.1022727272727,88
65,360.5826771653543,77.59317585301837,1524
66,352.09959623149393,479.6191117092867,743
67,342.9235294117647,819.6117647058824,170
68,342.15625,2474.765625,64
69,348.164,1311.596,250
70,349.72401433691755,606.4372759856631,279
71,344.0,1136.0,41
72,362.3777777777778,1280.8222222222223,765
73,368.03968253968253,1344.9781746031747,1008
74,353.95394736842104,1206.5592105263158,152
75,357.83185840707966,241.19911504424778,226
76,365.88120950323975,415.73866090712744,463
77,364.1279069767442,788.6220930232558,172
78,369.5357917570499,758.3297180043384,461
79,370.2903225806452,1753.659824046921,341
80,374.3325499412456,563.5851938895418,851
81,366.04597701149424,531.7586206896551,87
82,367.92537313432837,1183.1641791044776,201
83,469.4443237651927,919.229997414016,19335
84,373.70501474926255,1078.480825958702,339
85,394.02523240371846,1686.6500664010623,1506
86,402.5630054403764,307.08322305543305,6801
87,373.0,2825.0,41
88,377.46666666666664,1559.1,90
89,480.913158500115,1127.6873706004142,8694
90,385.45893719806764,1239.502415458937,207
91,436.8717037591173,590.2485505891154,10694
92,387.87704918032784,704.8360655737705,366
93,389.0,1188.0,77
94,398.4590747330961,1047.5124555160141,281
95,398.2651685393258,531.0921348314607,445
96,399.73778501628664,789.0618892508144,614
97,394.7352941176471,1457.735294117647,102
98,405.14903846153845,1768.141826923077,416
99,405.86301369863014,1580.6529680365297,657
100,404.1333333333333,1626.729411764706,255
101,398.27272727272725,187.27272727272728,55
102,410.28205128205127,1884.871794871795,195
103,406.5123966942149,2453.0206611570247,242
104,416.9896193771626,732.9850057670127,867
105,413.16743119266056,1003.2362385321101,436
106,408.0,1402.8333333333333,90
107,411.9244186046512,2683.1220930232557,172
108,450.22727272727275,1531.2423197492162,3190
109,420.3497757847534,138.0,446
110,413.76536312849163,1193.4692737430169,179
111,481.0176296037703,1379.940652818991,5729
112,421.2187958883994,1844.2834067547724,681
113,465.5518699186992,132.3928455284553,6150
114,416.678391959799,2394.788944723618,398
115,415.5,1950.0,60
116,420.198606271777,2091.4773519163764,287
117,462.32091372809936,807.2727877578177,4509
118,437.8192771084337,1246.769578313253,664
119,434.57272727272726,1995.1727272727273,220
120,455.29889727219967,1197.0150899593732,1723
121,437.31111111111113,1643.7066666666667,225
122,438.0,2042.5,108
123,450.4871418074945,1706.8662747979427,1361
124,454.49542483660133,2287.6967320261438,765
125,446.41509433962267,1056.554716981132,265
126,503.4191863226215,1868.5115561184107,12634
127,453.38329238329237,1316.7272727272727,407
128,448.7909090909091,2417.4,220
129,454.8390243902439,1443.9268292682927,205
130,488.3176379776148,2011.2616750289465,2591
131,468.62567567567567,1626.595945945946,740
132,454.48333333333335,2205.6583333333333,120
133,455.5,2352.5,72
134,477.6560327198364,395.25930470347646,2445
135,464.1001564945227,1953.9107981220657,639
136,481.125,15.782178217821782,808
137,463.3888888888889,469.5079365079365,126
138,476.01752577319587,527.5886597938145,970
139,468.15340909090907,306.5,176
140,465.44444444444446,2070.3623188405795,207
141,467.0,2366.5,84
142,475.293670886076,2706.891139240506,395
143,485.4132530120482,1048.4240963855423,830
144,504.2566946172572,2116.195563970787,3697
145,572.9429666764966,2659.9485697434384,16955
146,478.8723404255319,1268.5035460992908,423
147,475.525,1589.05,120
148,484.9970717423133,2243.99560761347,683
149,482.5460122699387,705.0674846625767,163
150,480.15546218487395,2379.3067226890757,238
151,531.6053946053946,2479.4625374625375,3003
152,499.1215415019763,1681.2005928853755,1012
153,489.5711060948081,746.7088036117382,443
154,547.2897105327171,118.93711992216006,8222
155,549.087172071886,1622.9925635199338,4841
156,499.6524390243902,2351.609756097561,328
157,514.7515833919775,2427.726249120338,1421
158,531.1764705882352,2334.5853658536585,2788
159,577.9673859126984,1752.937996031746,8064
160,525.7508992805756,2571.4748201438847,1112
161,524.7683706070287,1285.55910543131,1252
162,516.4869109947643,238.68586387434556,382
163,521.3583333333333,674.6972222222222,720
164,526.5005889281508,411.6796230859835,849
165,512.5,2865.3333333333335,42
166,517.0170212765958,292.02553191489363,235
167,522.2260869565217,25.691304347826087,230
168,522.1483870967742,377.2064516129032,155
169,533.346232179226,266.5682281059063,491
170,547.6986486486486,803.543918918919,1480
171,559.5274765003616,1516.7433116413595,2766
172,533.1050228310502,630.6575342465753,219
173,567.7482488669139,521.8726823238566,2427
174,546.4521640091116,2813.9031890660594,1756
175,537.0,2864.15,100
176,592.0771829983994,307.5294326871777,5623
177,535.5,1034.5,68
178,540.7711171662125,236.6049046321526,367
179,599.1399458684923,644.4179270816749,6281
180,541.2592592592592,495.5925925925926,216
181,539.2307692307693,1398.2307692307693,65
182,541.2619047619048,1442.702380952381,168
183,541.6621621621622,1048.7432432432433,74
184,547.5011441647597,2222.034324942792,437
185,569.3726453726454,1246.8992628992628,1221
186,560.1425531914894,2056.4659574468087,1410
187,561.2306684141547,454.25950196592396,763
188,550.6217948717949,570.2435897435897,156
189,552.384858044164,2282.031545741325,317
190,558.3792325056434,624.4966139954853,443
191,577.4951523545707,2168.342105263158,1444
192,552.7432432432432,1816.472972972973,74
193,561.4694214876033,1960.0611570247934,605
194,559.1422924901186,1008.798418972332,253
195,562.2348066298342,840.1491712707183,362
196,561.0,376.0,41
197,602.3699601240585,1104.467213114754,4514
198,567.0141176470588,2562.752941176471,425
199,600.1675710181934,1406.4605809128632,3133
200,607.7860736566713,2271.185147917086,4969
201,627.6643579183826,426.3227255709472,5342
202,575.2811387900356,1999.1494661921708,562
203,574.5671641791045,768.6467661691543,201
204,573.5,1533.5,86
205,573.0121951219512,2389.3658536585367,82
206,575.183962264151,729.9858490566038,212
207,581.2911392405064,2589.5443037974683,158
208,576.0,2865.8,25
209,578.0,1767.5,60
210,674.7274573517466,55.76949634443542,4924
211,619.6527643064985,1199.251212415131,2062
